name,time/op (ns/op),±
Gol/512x512x100-1-12,1.13428E+09,0%
Gol/512x512x100-2-12,1.15068E+09,0%
Gol/512x512x100-3-12,1.22210E+09,0%
Gol/512x512x100-4-12,1.11223E+09,0%
Gol/512x512x100-5-12,1.26483E+09,0%
Gol/512x512x100-6-12,1.63211E+09,0%
Gol/512x512x100-7-12,2.98327E+09,0%
Gol/512x512x100-8-12,2.82358E+09,0%
Gol/512x512x100-9-12,2.79539E+09,0%
Gol/512x512x100-10-12,2.65660E+09,0%
Gol/512x512x100-11-12,2.90659E+09,0%
Gol/512x512x100-12-12,2.96458E+09,0%
Gol/512x512x100-13-12,2.96879E+09,0%
Gol/512x512x100-14-12,3.15859E+09,0%
Gol/512x512x100-15-12,2.99876E+09,0%
Gol/512x512x100-16-12,2.52969E+09,0%
